出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词
第一出,南柯子,否,1,"[5, 5, 7, 9, 5, 5, 7, 9]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 7, 9, 5, 5, 7, 9]"
第二出,破齐阵,否,1,"[6, 6, 4, 4, 7, 8, 8, 5]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[6, 6, 4, 4, 7, 8, 8, 5]"
第二出,蝶恋花,否,2,"[7, 9, 7, 7, 7, 9, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[7, 9, 7, 7, 7, 9, 7, 7]"
第二出,捣练子,否,3,"[3, 3, 7, 9]","[0, 0, 0, 0]","[0, 0, 0, 0]","[3, 3, 7, 9]"
第二出,集唐,否,4,"[5, 5, 5, 5, 6, 4, 9, 4, 6, 5, 4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 5, 5, 5, 6, 4, 9, 4, 6, 5, 4, 6]"
第二出,玉交枝,否,5,"[4, 7, 8, 7, 7, 7, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[4, 7, 8, 7, 7, 7, 7, 7]"
第二出,玉交枝,是,6,"[5, 7, 8, 7, 9, 10, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[5, 7, 8, 7, 9, 10, 7, 7]"
第二出,急板令,否,7,"[7, 7, 5, 5, 4, 4, 4, 4, 7, 3, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 5, 5, 4, 4, 4, 4, 7, 3, 3]"
第二出,急板令,是,8,"[7, 7, 5, 5, 7, 4, 4, 4]","[0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 5, 5, 4, 4, 4, 4]"
第二出,尾声,否,9,"[11, 9, 6, 13]","[0, 0, 0, 0]","[0, 0, 6, 0]","[11, 9, 0, 13]"
