序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
1,南柯记,第一出,南柯子,否,1,金,公主金枝,随夫贵公主金枝,下场诗
1,南柯记,第一出,南柯子,否,1,金,金柅小,金柅小阁晴,正文
0,南柯记,第二出,破齐阵,否,2
2,南柯记,第二出,蝶恋花,否,3,金,散千金,累散千金,正文
0,南柯记,第二出,捣练子,否,4
3,南柯记,第二出,集唐,否,5,黄,黄金犹,黄金犹未尽,正文
3,南柯记,第二出,集唐,否,5,金,黄金犹未,黄金犹未尽,正文
4,南柯记,第二出,玉交枝,否,6,金,破千金贤豪,破千金贤豪浪游,正文
5,南柯记,第二出,玉交枝,是,7,翠,庭空翠幽,鬼精灵庭空翠幽,正文
0,南柯记,第二出,急板令,否,8
0,南柯记,第二出,急板令,是,9
0,南柯记,第二出,尾声,否,10
6,南柯记,第三出,海棠春,否,11,朱,绛阙朱衣,绛阙朱衣,正文
6,南柯记,第三出,海棠春,否,11,丹,丹台紫,丹台紫气,正文
6,南柯记,第三出,海棠春,否,11,紫,丹台紫气,丹台紫气,正文
7,南柯记,第三出,清平乐,否,12,绿,绿槐风,绿槐风下,正文
7,南柯记,第三出,清平乐,否,12,金,土花金价,一粒土花金价,正文
7,南柯记,第三出,清平乐,否,12,兰,列兰锜,列兰锜,正文
7,南柯记,第三出,清平乐,否,12,翠,科；翠盖黄,分雨露于各科；翠盖黄扉,正文
7,南柯记,第三出,清平乐,否,12,黄,翠盖黄扉,分雨露于各科；翠盖黄扉,正文
7,南柯记,第三出,清平乐,否,12,朱,集集朱轮,果然集集朱轮,正文
7,南柯记,第三出,清平乐,否,12,青,以葱青,吴都树以葱青,正文
8,南柯记,第三出,海棠春,否,13,丹,又趋丹陛,承诏又趋丹陛,正文
8,南柯记,第三出,海棠春,否,13,紫,紫殿肃,紫殿肃阴阴,正文
0,南柯记,第三出,惜奴娇,否,14
9,南柯记,第三出,惜奴娇,是,15,黄,绛帻黄衣,绛帻黄衣,正文
0,南柯记,第三出,惜奴娇,是,16
0,南柯记,第三出,惜奴娇,是,17
10,南柯记,第三出,锦衣香,否,18,翠,叶儿翠,叶儿翠,正文
11,南柯记,第三出,浆水令,否,19,赤,赤子无,赤子无知,正文
0,南柯记,第三出,尾声,否,20
12,南柯记,第四出,集唐,否,21,金,对着金、焦,你看这润州城对着金、焦,正文
12,南柯记,第四出,集唐,否,21,兰,会盂兰,敬选七月十五日大会盂兰,正文
12,南柯记,第四出,集唐,否,21,金,古润金焦之,岂无恶业；接古润金焦之境,正文
12,南柯记,第四出,集唐,否,21,兰,盂兰盆里,盂兰盆里,正文
12,南柯记,第四出,集唐,否,21,金,朵朵金莲,喝开朵朵金莲,正文
13,南柯记,第四出,正宫端正好,否,22,金,金、焦,金、焦摆列钟和鼓,正文
0,南柯记,第四出,滚绣球,否,23
0,南柯记,第四出,倘秀才,否,24
0,南柯记,第四出,煞,否,25
0,南柯记,第五出,夜游宫,否,26
14,南柯记,第五出,清平乐,否,27,朱,世外朱尘隔,世外朱尘隔,正文
14,南柯记,第五出,清平乐,否,27,金,号作金枝公,号作金枝公主,正文
15,南柯记,第五出,夜游宫,是,28,朱,的施朱傅粉,也会的施朱傅粉,正文
15,南柯记,第五出,夜游宫,是,28,粉,朱傅粉,也会的施朱傅粉,正文
0,南柯记,第五出,傍妆台,否,29
0,南柯记,第五出,傍妆台,是,30
16,南柯记,第五出,玩仙灯,否,31,朱,早向朱门步,早向朱门步稳,正文
17,南柯记,第五出,傍妆台,否,32,金,奴有金凤钗,这等奴有金凤钗一对,正文
18,南柯记,第五出,傍妆台,是,33,金,钗头金凤朵,献钗头金凤朵,正文
