章节,次序,诗人,诗句
第一出,1,王实辅,杜丽娘梦写丹青记
第一出,2,王实辅,陈教授说下梨花枪
第一出,3,王实辅,柳秀才偷载回生女
第一出,4,王实辅,杜平章刁打状元郎
第二出,1,张窈窕,门前梅柳烂春晖
第二出,2,王昌龄,梦见君王觉后疑
第二出,3,曹松,心似百花开未得
第二出,4,韩偓,托身须上万年枝
第三出,1,柳宗元,往年何事乞西宾
第三出,2,王建,主领春风只在君
第三出,3,苗发,伯道暮年无嗣子
第三出,4,刘禹锡,女中谁是卫夫人
第四出,1,李商隐,〔丑〕世间荣乐本逡巡
第四出,2,曹唐,〔末〕谁睬髭须白似银
第四出,3,朱庆余,〔丑〕风流太守容闲坐
第四出,4,韩愈,〔合〕便有无边求福人
第五出,1,薛能,〔外〕门馆无私白日闲
第五出,2,杜甫,〔末〕百年粗粝腐儒餐
第五出,3,柳宗元,〔外〕左家弄玉惟娇女
第五出,4,钱起,〔合〕花里寻师到杏坛
第六出,1,段成式,应念愁中恨索居
第六出,2,李商隐,青云器业俺全疏
第六出,3,皮日休,越王自指高台笑
第六出,4,章碣,刘项原来不读书
第七出,1,李山甫,〔旦〕也曾飞絮谢家庭
第七出,2,张泌,〔贴〕欲化西园蝶未成
第七出,3,赵嘏,〔旦〕无限春愁莫相问
第七出,4,张祜,〔合〕绿阴终借暂时行
第八出,1,杜甫,闾阎缭绕接山巅
第八出,2,张继,春草青青万顷田
第八出,3,羊士谔,日暮不辞停五马
第八出,4,薛能,桃花红近竹林边
第九出,1,崔日用,东郊风物正薰馨
第九出,2,陈陶,应喜家山接女星
第九出,3,韦应物,莫遣儿童触红粉
第九出,4,杜甫,便教莺语太丁宁
第十出,1,张说,春望逍遥出画堂
第十出,2,罗隐,间梅遮柳不胜芳
第十出,3,许浑,可知刘阮逢人处
第十出,4,韦庄,回首东风一断肠
第十一出,1,苏广文,〔老〕风雨林中有鬼神
第十一出,2,郑谷,〔贴〕寂蓼未是采花人
第十一出,3,段成武,〔老〕素娥毕竟难防备
第十一出,4,唐彦谦,〔贴〕似有微词动绛唇
第十二出,1,释皎然,〔旦〕武陵何处访仙郎
第十二出,2,韦庄,〔贴〕只怪游人思易忘
第十三出,1,杜甫,〔生〕此身飘泊苦西东
第十三出,2,陆龟蒙,〔净〕笑指生涯树树红
第十四出,1,崔道融,〔贴〕眼前珠翠与心违
第十四出,2,韦庄,〔旦〕却向花前痛哭归
第十四出,3,罗虬,〔贴〕好写妖娆与教看
第十四出,4,韩偓,〔旦〕令人评泊画杨妃
第十五出,1,谭峭,线大长江扇大天
第十五出,2,司空图,旌旗遥拂雁行偏
第十五出,3,张祜,可胜饮尽江南酒
第十五出,4,王建,交割山川直到燕
第十六出,1,李绅,柳起东风惹病身
第十六出,2,刘长卿,举家相对却沾巾
第十六出,3,张籍,遍依仙法多求药
第十六出,4,项斯,会见蓬山不死人
第十九出,1,曹唐,平原好牧无人放
第十九出,2,王维,白草连天野火烧
第二十出,1,朱褒,〔外〕魂归冥漠魄归泉
第二十出,2,曹唐,〔老〕使汝悠悠十八年
第二十出,3,李白,〔末〕一叫一回肠一断
第二十出,4,张籍,〔合〕如今重说恨绵绵
第二十一出,1,司空图,〔生〕乌纱巾上是青天
第二十一出,2,刘长卿,〔净〕俊骨英才气俨然
第二十一出,3,张南史,〔生〕闻道金门堪济美
第二十一出,4,李白,〔净〕临行赠汝绕朝鞭
第二十二出,1,薛据,〔生〕三十无家作路人
第二十二出,2,王维,〔末〕与君相见即相亲
第二十二出,3,白居易,〔生〕华阳洞里仙坛上
第二十二出,4,罗隐,〔合〕似近东风别有因
第二十三出,1,许浑,〔末〕醉斜乌帽发如丝
第二十三出,2,李商隐,〔旦〕尽日灵风不满旗
第二十三出,3,罗邺,〔净〕年年检点人间事
第二十三出,4,元稹,〔合〕为待萧何作判司
第二十五出,1,徐凝,〔老〕曾伴残蛾到女儿
第二十五出,2,杜甫,〔贴〕白杨今日几人悲
第二十五出,3,温庭筠,〔老〕须知此恨消难得
第二十五出,4,廉氏,〔合〕泪滴寒塘蕙草时
第二十六出,1,白居易,不须一向恨丹青
第二十六出,2,伍乔,堪把长悬在户庭
第二十六出,3,司空图,惆怅题诗柳中隐
第二十六出,4,章碣,添成春醉转难醒
第二十七出,1,曹唐,〔净〕心知不敢辄形相
