章节,第1次,诗人
第一出,1,王实辅
第二出,1,张窈窕
第三出,1,柳宗元
第四出,1,李商隐
第五出,1,薛能
第六出,1,段成式
第七出,1,李山甫
第八出,1,杜甫
第九出,1,崔日用
第十出,1,张说
第十一出,1,苏广文
第十二出,1,释皎然
第十三出,1,杜甫
第十四出,1,崔道融
第十五出,1,谭峭
第十六出,1,李绅
第十九出,1,曹唐
第二十出,1,朱褒
第二十一出,1,司空图
第二十二出,1,薛据
第二十三出,1,许浑
第二十五出,1,徐凝
第二十六出,1,白居易
第二十七出,1,曹唐
第二十八出,1,韩愈
第二十九出,1,岑参
第三十出,1,曹松
第三十一出,1,杜牧
第三十二出,1,李商隐
第三十三出,1,崔鲁
第三十四出,1,于鹄
第三十五出,1,罗隐
第三十六出,1,吴融
第三十七出,1,韩愈
第三十八出,1,王昌龄
第三十九出,1,刘氏
第四十出,1,朱湾
第四十一出,1,曹松
第四十二出,1,吴融
第四十三出,1,陈标
第四十四出,1,刘商
第四十五出,1,李白
第四十六出,1,刘长卿
第四十七出,1,许浑
第四十八出,1,欧阳詹
第四十九出,1,韩愈
第五十出,1,张乔
第五十一出,1,郑畋
第五十二出,1,郑谷
第五十三出,1,陆龟蒙
第五十五出,1,韦应物
