出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第一出,蝶恋花,否,1,"[7, 4, 5, 7, 7, 7, 4, 5, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 4, 5, 7, 7, 7, 4, 5, 7, 7]",[],[]
第一出,汉宫春,否,2,"[4, 5, 4, 6, 4, 4, 7, 3, 5, 5, 6, 5, 4, 6, 4, 5, 7, 3, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 5, 4, 6, 4, 4, 7, 3, 5, 5, 6, 5, 4, 6, 4, 5, 7, 3, 4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[4, 5, 4, 6, 4, 4, 7, 3, 5, 5, 6, 5, 4, 6, 4, 5, 7, 3, 4, 5]"
第二出,真珠帘,否,1,"[4, 5, 3, 4, 5, 5, 7, 3, 5, 5, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 5, 3, 4, 5, 5, 7, 3, 4, 3, 8]",[],[]
第二出,鹧鸪天,否,2,"[7, 7, 7, 7, 3, 3, 7, 7, 7, 4, 3, 4, 13, 4, 6, 6, 7, 4, 9, 4, 4, 4, 6, 4, 7, 5, 4, 4, 8, 8, 4, 4, 8, 6, 6, 4, 4, 4, 5, 4, 4, 2, 2, 2, 8, 4, 6, 4, 2, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 7, 7, 3, 3, 7, 7, 7, 4, 3, 4, 13, 4, 6, 6, 7, 4, 9, 4, 4, 4, 6, 4, 7, 5, 4, 4, 8, 8, 4, 4, 8, 6, 6, 4, 4, 4, 5, 4, 4, 2, 2, 2, 8, 4, 6, 4, 2, 7, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 7, 7, 7, 3, 3, 7, 7, 7, 4, 3, 4, 13, 4, 6, 6, 7, 4, 9, 4, 4, 4, 6, 4, 7, 5, 4, 4, 8, 8, 4, 4, 8, 6, 6, 4, 4, 4, 5, 4, 4, 2, 2, 2, 8, 4, 6, 4, 2, 7, 7]"
第二出,九回肠,否,3,[0],[0],[0],[0],[],[]
第二出,解三酲,否,4,"[7, 7, 8, 7, 10, 10, 3]","[0, 0, 0, 0, 3, 3, 0]","[0, 0, 0, 0, 0, 0, 0]","[7, 7, 8, 7, 7, 7, 3]",[],[]
第二出,三学士,否,5,"[8, 7, 10, 8]","[0, 0, 3, 1]","[0, 0, 0, 0]","[8, 7, 7, 7]",[],[]
第二出,急三枪,否,6,"[9, 3, 6]","[0, 0, 0]","[0, 0, 0]","[9, 3, 6]",[],[],"[5, 7, 6, 6, 7, 5, 6]"
第三出,满庭芳,否,1,"[4, 4, 6, 4, 5, 6, 7, 7, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[4, 4, 6, 4, 5, 6, 7, 7, 5]",[],[],"[7, 7, 7, 7, 8, 4, 8, 4, 4, 5, 4, 4, 4, 6, 8, 5, 5, 6, 4, 4, 4, 6, 4, 6, 6, 4, 2, 7, 7]"
第三出,绕地游,否,2,"[4, 5, 7]","[0, 0, 0]","[0, 0, 0]","[4, 5, 7]","[7, 7, 7, 7, 8, 4, 8, 4, 4, 5, 4, 4, 4, 6, 8, 5, 5, 6, 4, 4, 4, 6, 4, 6, 6, 4, 2, 7, 7]",[],"[7, 7, 7, 8, 5, 7, 6, 4, 6, 7, 5, 4]"
