序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
1,牡丹亭,第一出,蝶恋花,否,1,白,白日消,白日消磨肠断句,正文
1,牡丹亭,第一出,蝶恋花,否,1,红,红烛迎,红烛迎人,正文
1,牡丹亭,第一出,蝶恋花,否,1,丹,牡丹亭上,牡丹亭上三生路,正文
2,牡丹亭,第一出,汉宫春,否,2,丹青,梦写丹青记,杜丽娘梦写丹青记,下场诗
2,牡丹亭,第一出,汉宫春,否,2,黄,杜宝黄堂,杜宝黄堂,正文
3,牡丹亭,第二出,真珠帘,否,3,黄,和黄金那,和黄金那里,正文
3,牡丹亭,第二出,真珠帘,否,3,金,和黄金那里,和黄金那里,正文
0,牡丹亭,第二出,鹧鸪天,否,4
0,牡丹亭,第二出,九回肠,否,5
0,牡丹亭,第二出,解三酲,否,6
0,牡丹亭,第二出,三学士,否,7
4,牡丹亭,第二出,急三枪,否,8,黄,暗度黄金柳,有一日春光暗度黄金柳,正文
4,牡丹亭,第二出,急三枪,否,8,金,度黄金柳,有一日春光暗度黄金柳,正文
4,牡丹亭,第二出,急三枪,否,8,白,开了白玉梅,雪意冲开了白玉梅,正文
4,牡丹亭,第二出,急三枪,否,8,翠,丝儿翠,丝儿翠,正文
5,牡丹亭,第三出,满庭芳,否,9,紫,紫袍金,紫袍金带,正文
5,牡丹亭,第三出,满庭芳,否,9,金,紫袍金带,紫袍金带,正文
0,牡丹亭,第三出,绕地游,否,10
0,牡丹亭,第三出,绕地游,是,11
6,牡丹亭,第三出,玉山颓,否,12,黄,坐黄堂百,坐黄堂百岁春光,正文
7,牡丹亭,第三出,玉山颓,是,13,白,你白日眠,你白日眠睡,正文
0,牡丹亭,第三出,玉抱肚,否,14
0,牡丹亭,第三出,玉抱肚,是,15
8,牡丹亭,第三出,玉抱肚,是,16,黄,黄堂父,黄堂父母,正文
9,牡丹亭,第三出,玉抱肚,是,17,银,枉了银娘玉,不枉了银娘玉姐只做个纺砖儿,正文
0,牡丹亭,第三出,尾声,否,18
0,牡丹亭,第四出,双劝酒,否,19
