序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
1,紫钗记,第一出,西江月,否,1,红,点缀红泉旧,点缀红泉旧本,正文
2,紫钗记,第一出,沁园春,否,2,黄,黄衣客,黄衣客强合鞋儿梦,下场诗
2,紫钗记,第一出,沁园春,否,2,黄,黄衣客,黄衣客、回生起死,正文
0,紫钗记,第二出,珍珠帘,否,3
3,紫钗记,第二出,青玉案,否,4,青,青玉案,青玉案,曲牌
3,紫钗记,第二出,青玉案,否,4,青,拂旧青衿 ,殷勤洗拂旧青衿,正文
3,紫钗记,第二出,青玉案,否,4,红,红香艺,红香艺苑,正文
3,紫钗记,第二出,青玉案,否,4,紫,紫臭时,紫臭时流,正文
0,紫钗记,第二出,贺圣朝,否,5
4,紫钗记,第二出,玉芙蓉,否,6,青, 青韶印,青韶印,正文
5,紫钗记,第二出,玉芙蓉,是,7,黄, 黄云正,黄云正朔新,正文
6,紫钗记,第二出,簇御林,否,8,金,要换金紫荷,要换金紫荷衣,正文
6,紫钗记,第二出,簇御林,否,8,紫,换金紫荷衣,要换金紫荷衣,正文
6,紫钗记,第二出,簇御林,否,8,青,草树青回嫩,报 闲庭草树青回嫩,正文
6,紫钗记,第二出,簇御林,否,8,青,致身青云上,豪杰自当致身青云上,正文
0,紫钗记,第二出,簇御林,是,9
7,紫钗记,第二出,尾声,否,10,黄, 眉黄喜入,你 眉黄喜入春多分,正文
0,紫钗记,第三出,满宫花,否,11
8,紫钗记,第三出,蝶恋花,否,12,青,只愁青帝无,只愁青帝无凭准,正文
8,紫钗记,第三出,蝶恋花,否,12,金,荐涂金之席,大国荐涂金之席,正文
8,紫钗记,第三出,蝶恋花,否,12,翠,分翠叶之,分翠叶之双蛾；北地燕脂,正文
8,紫钗记,第三出,蝶恋花,否,12,紫,爱戴紫玉燕,爱戴紫玉燕钗,正文
9,紫钗记,第三出,满宫花后,否,13,红, 红罗先,红罗先绣踏青鞋,正文
9,紫钗记,第三出,满宫花后,否,13,青,绣踏青鞋,红罗先绣踏青鞋,正文
9,紫钗记,第三出,满宫花后,否,13,绿,池开绿,冰破池开绿,正文
10,紫钗记,第三出,绵搭絮,否,14,粉,画粉银屏,画粉银屏,正文
10,紫钗记,第三出,绵搭絮,否,14,银,画粉银屏,画粉银屏,正文
10,紫钗记,第三出,绵搭絮,否,14,翠,得 翠帏人,那管得 翠帏人老,正文
11,紫钗记,第三出,绵搭絮,是,15,红, 晕红潮,微酒 晕红潮,正文
12,紫钗记,第三出,绵搭絮,是,16,金,子钿金钏,新妆燕子钿金钏,正文
12,紫钗记,第三出,绵搭絮,是,16,红,红袖相,红袖相招,正文
12,紫钗记,第三出,绵搭絮,是,16,金,赏万金蚨 ,酬赏万金蚨,正文
12,紫钗记,第三出,绵搭絮,是,16,翠, 拾翠闲行,无人处和你、 拾翠闲行,正文
12,紫钗记,第三出,绵搭絮,是,16,翠, 淡翠眉峰,你 淡翠眉峰镇自描,正文
13,紫钗记,第三出,绵搭絮,是,17,红,红莹 ,红莹 水晶条,正文
13,紫钗记,第三出,绵搭絮,是,17,金,钗头金步摇,点缀钗头金步摇,正文
13,紫钗记,第三出,绵搭絮,是,17,翠,翠插云,翠插云翘,正文
14,紫钗记,第三出,尾声,否,18,金,还把金针凤,还把金针凤眼挑,正文
15,紫钗记,第四出,祝英台近,否,19,翠, 翠屏闲,翠屏闲,正文
15,紫钗记,第四出,祝英台近,否,19,青,青镜冷,青镜冷,正文
16,紫钗记,第四出,少年游,否,20,红,红泪覆,红泪覆鲛绡,正文
16,紫钗记,第四出,少年游,否,20,金,遗赠金帛不,遗赠金帛不计,正文
17,紫钗记,第四出,唐多令,否,21,翠,翠宿香,翠宿香梢未肯消,正文
17,紫钗记,第四出,唐多令,否,21,青,青门近,青门近狭斜,正文
17,紫钗记,第四出,唐多令,否,21,粉,半露粉红帘,半露粉红帘下,正文
17,紫钗记,第四出,唐多令,否,21,红,露粉红帘下,半露粉红帘下,正文
18,紫钗记,第四出,祝英台,否,22,金,时时金帛见,你时时金帛见遗,正文
18,紫钗记,第四出,祝英台,否,22,金,笑千金 ,俺也曾 一笑千金,正文
18,紫钗记,第四出,祝英台,否,22,红,一曲红绡 ,一曲红绡,正文
0,紫钗记,第四出,祝英台,是,23
0,紫钗记,第四出,祝英台,是,24
19,紫钗记,第四出,祝英台,是,25,红, 缕红丝 ,这一 缕红丝,正文
20,紫钗记,第四出,尾声,否,26,紫,紫陌花,紫陌花灯涌暗尘,下场诗
20,紫钗记,第四出,尾声,否,26,白,今表白俺 ,从今表白俺 衷情话,正文
21,紫钗记,第五出,点绛唇,否,27,金,金锁通,金锁通宵启玉京,正文
21,紫钗记,第五出,点绛唇,否,27,紫,紫馆风,紫馆风微鹤焰平,正文
21,紫钗记,第五出,点绛唇,否,27,金,正是金吾不,正是金吾不禁夜,正文
22,紫钗记,第五出,玩仙灯,否,28,红,占断红妆宴,早占断红妆宴,正文
0,紫钗记,第五出,玩仙灯,是,29
23,紫钗记,第五出,忆秦娥,否,30,红,红妆索,红妆索向千莲照,正文
23,紫钗记,第五出,忆秦娥,否,30,金,隐千金笑,笙歌欲隐千金笑,正文
23,紫钗记,第五出,忆秦娥,否,30,金,千金笑,笙歌欲隐千金笑,正文
24,紫钗记,第五出,忒忒令,否,31,红,道是红云拥,畅道是红云拥,正文
24,紫钗记,第五出,忒忒令,否,31,翠,翠华偏,翠华偏,正文
0,紫钗记,第五出,忒忒令,是,32
0,紫钗记,第五出,忒忒令,是,33
25,紫钗记,第五出,尾声,否,34,金,金屋何,金屋何能闭阿娇,下场诗
25,紫钗记,第五出,尾声,否,34,银,银汉斜,银汉斜通宛转桥,下场诗
0,紫钗记,第六出,凤凰阁引,否,35
0,紫钗记,第六出,园林好,否,36
26,紫钗记,第六出,园林好,是,37,黄,里个黄衫大,那里个黄衫大汉,正文
26,紫钗记,第六出,园林好,是,37,白,一匹白马来,一匹白马来也,正文
27,紫钗记,第六出,园林好,是,38,黄,豪士黄衫拥,（豪士黄衫拥胡奴二三人走马上,括号
27,紫钗记,第六出,园林好,是,38,黄,黄衫豪,黄衫豪客是也,正文
0,紫钗记,第六出,园林好,是,39
28,紫钗记,第六出,园林好,是,40,翠,珠帘翠瓦,光滟潋珠帘翠瓦,正文
29,紫钗记,第六出,江儿水,否,41,黄, 淡黄昏,则道是 淡黄昏,正文
29,紫钗记,第六出,江儿水,否,41,红,红妆掩,红妆掩映前还怯,正文
30,紫钗记,第六出,江儿水,是,42,红,过 红围拥,止不过 红围拥,正文
30,紫钗记,第六出,江儿水,是,42,翠,翠阵遮,翠阵遮,正文
31,紫钗记,第六出,玉交枝,否,43,翠,拾翠花前,拾翠花前,正文
31,紫钗记,第六出,玉交枝,否,43,金,不怕金莲踅,你步 香街不怕金莲踅,正文
32,紫钗记,第六出,玉交枝,是,44,金,直千金也,咱钗直千金也,正文
32,紫钗记,第六出,玉交枝,是,44,金,会千金也,此会千金也,正文
32,紫钗记,第六出,玉交枝,是,44,金, 千金一笑,道 千金一笑相逢夜,正文
32,紫钗记,第六出,玉交枝,是,44,蓝, 近蓝桥那,似 近蓝桥那般欢惬,正文
0,紫钗记,第六出,川拨棹,否,45
0,紫钗记,第六出,川拨棹,是,46
0,紫钗记,第六出,尾声,否,47
33,紫钗记,第六出,玉楼春,否,48,红,烛花红,他 归时遥映烛花红,正文
0,紫钗记,第六出,玉楼春后,否,49
34,紫钗记,第六出,六犯清音,否,50,金,千金一刻,千金一刻,正文
34,紫钗记,第六出,六犯清音,否,50,翠,咱拾翠他 ,咱拾翠他 含羞,正文
34,紫钗记,第六出,六犯清音,否,50,翠,翠眉低,翠眉低,正文
34,紫钗记,第六出,六犯清音,否,50,翠,他 翠袖迎,偏似他 翠袖迎风糁落梅,正文
35,紫钗记,第六出,尾声,否,51,蓝,蓝桥相,蓝桥相见夜深还,下场诗
0,紫钗记,第七出,捣练子,否,52
0,紫钗记,第七出,如梦令,否,53
36,紫钗记,第七出,普天乐,否,54,金,金钗坠,金钗坠,正文
37,紫钗记,第七出,不是路,否,55,紫,坠钗紫玉燕,但拾得坠钗紫玉燕一枝,正文
37,紫钗记,第七出,不是路,否,55,紫,一枝紫玉钗,好一枝紫玉钗也,正文
38,紫钗记,第七出,啄木公子,否,56,翠,点 翠圈珠,点 翠圈珠珑嵌的整,正文
38,紫钗记,第七出,啄木公子,否,56,紫,透紫琼枝,透紫琼枝,正文
38,紫钗记,第七出,啄木公子,否,56,红,日漾红冰 ,似 阑干日漾红冰,正文
39,紫钗记,第七出,啄木公子,是,57,红,红润偷,红润偷归翠袖擎,正文
39,紫钗记,第七出,啄木公子,是,57,翠,偷归翠袖擎,红润偷归翠袖擎,正文
40,紫钗记,第七出,好姐姐,否,58,红,般、红鸾凑,恁般、红鸾凑成,正文
41,紫钗记,第七出,好姐姐,是,59,白,自有白璧一,彼时自有白璧一双为献也,正文
42,紫钗记,第七出,尾声,否,60,红,里系红丝,不须千里系红丝,下场诗
0,紫钗记,第八出,薄幸,否,61
0,紫钗记,第八出,应天长,否,62
43,紫钗记,第八出,字字锦,否,63,白,梅花白,月向梅花白,正文
43,紫钗记,第八出,字字锦,否,63,金,人赴金钗会,人赴金钗会,正文
44,紫钗记,第八出,字字锦,是,64,黄,个 黄昏自,领取个 黄昏自在,正文
45,紫钗记,第八出,入赚,否,65,紫,爱戴紫玉燕,小玉姐爱戴紫玉燕钗,正文
45,紫钗记,第八出,入赚,否,65,青,着踏青挑菜,准望着踏青挑菜,正文
45,紫钗记,第八出,入赚,否,65,金,金 莲,金 莲步躧,正文
45,紫钗记,第八出,入赚,否,65,朱,是他朱门外,早是他朱门外,正文
45,紫钗记,第八出,入赚,否,65,金,有甚金钗客,有甚金钗客,正文
0,紫钗记,第八出,雪狮子,否,66
0,紫钗记,第八出,雪狮子,是,67
0,紫钗记,第八出,隔尾,否,68
0,紫钗记,第八出,一翦梅,否,69
0,紫钗记,第八出,宜春令,否,70
0,紫钗记,第八出,宜春令,是,71
0,紫钗记,第八出,宜春令,是,72
0,紫钗记,第八出,宜春令,是,73
0,紫钗记,第八出,一翦梅,否,74
46,紫钗记,第八出,绣带儿,否,75,兰,不是兰香 ,想仙姬不是兰香,正文
47,紫钗记,第八出,绣带儿,是,76,兰,恨玉兰空孕,恨玉兰空孕莲花,正文
47,紫钗记,第八出,绣带儿,是,76,银,银河畔,银河畔鹊桥亲踏,正文
48,紫钗记,第八出,绣带儿,是,77,青,青春不,青春不多也二八,正文
48,紫钗记,第八出,绣带儿,是,77,白,是 白玉无,便道是 白玉无瑕,正文
48,紫钗记,第八出,绣带儿,是,77,青,青春有,青春有价,正文
