出,曲牌,是否前腔,顺序,全部句式,承词,宾白,唱词,前置宾白句式,全宾白句式,后置宾白句式
第一出,渔家傲,否,1,[0],[0],[0],[0],[],[]
第二出,破齐阵,否,1,[0],[0],[0],[0],[],[]
第二出,菩萨蛮倒句,否,2,"[7, 7, 5, 5, 5, 5, 5, 5, 9, 7, 4, 7, 4, 4, 6, 4, 6, 6, 6, 6, 6, 9, 11, 3, 9, 11, 3, 1, 8, 8, 4, 4, 7, 4, 4, 7, 4, 7, 4, 7, 4, 3, 3, 7, 4, 3, 3, 7, 10, 7, 7, 6, 7, 6, 3, 3, 4, 6, 3, 5, 6, 3, 7, 5, 6, 3, 7, 1, 4, 4, 6, 4, 9, 8, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7, 7, 5, 5, 5, 5, 5, 5, 9, 7, 4, 7, 4, 4, 6, 4, 6, 6, 6, 6, 6, 9, 11, 3, 9, 11, 3, 1, 8, 8, 4, 4, 7, 4, 4, 7, 4, 7, 4, 7, 4, 3, 3, 7, 4, 3, 3, 7, 10, 7, 7, 6, 7, 6, 3, 3, 4, 6, 3, 5, 6, 3, 7, 5, 6, 3, 7, 1, 4, 4, 6, 4, 9, 8, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[7, 7, 5, 5, 5, 5, 5, 5, 9, 7, 4, 7, 4, 4, 6, 4, 6, 6, 6, 6, 6, 9, 11, 3, 9, 11, 3, 1, 8, 8, 4, 4, 7, 4, 4, 7, 4, 7, 4, 7, 4, 3, 3, 7, 4, 3, 3, 7, 10, 7, 7, 6, 7, 6, 3, 3, 4, 6, 3, 5, 6, 3, 7, 5, 6, 3, 7, 1, 4, 4, 6, 4, 9, 8, 7]"
第二出,柳摇金,否,3,[0],[0],[0],[0],[],[]
第三出,集唐,否,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
第三出,赏花时,否,2,[0],[0],[0],[0],[],[],"[6, 9, 4, 11, 4, 6, 4, 6, 8, 9, 8]"
第三出,么,否,3,[0],[0],[0],[0],"[6, 9, 4, 11, 4, 6, 4, 6, 8, 9, 8]",[],"[4, 13, 5, 5, 9, 7, 7, 7, 7, 3, 5, 5, 14, 7, 5, 8, 2, 2, 3, 9, 2, 2, 5, 5, 3, 2, 11, 3, 2, 5, 7, 5, 7, 5, 5, 4, 7, 7, 10, 5, 10]"
第三出,中吕粉蝶儿,否,4,[0],[0],[0],[0],"[4, 13, 5, 5, 9, 7, 7, 7, 7, 3, 5, 5, 14, 7, 5, 8, 2, 2, 3, 9, 2, 2, 5, 5, 3, 2, 11, 3, 2, 5, 7, 5, 7, 5, 5, 4, 7, 7, 10, 5, 10]",[]
第三出,醉春风,否,5,[0],[0],[0],[0],[],[],"[4, 6, 7]"
第三出,红绣鞋,否,6,[0],[0],[0],[0],"[4, 6, 7]",[],"[9, 4, 2, 2]"
第三出,迎仙客,否,7,[0],[0],[0],[0],"[9, 4, 2, 2]",[],"[5, 3, 12, 2, 2, 6, 3, 5, 7, 6, 6, 4, 5, 5, 5, 5, 6]"
第三出,石榴花,否,8,[0],[0],[0],[0],"[5, 3, 12, 2, 2, 6, 3, 5, 7, 6, 6, 4, 5, 5, 5, 5, 6]",[],"[4, 5, 11]"
第三出,斗鹌鹑,否,9,[0],[0],[0],[0],"[4, 5, 11]",[]
第三出,上小楼,否,10,[0],[0],[0],[0],[],[],"[13, 4]"
第三出,么,否,11,[0],[0],[0],[0],"[13, 4]",[],"[8, 4, 5, 5, 4]"
第三出,白鹤子,否,12,[0],[0],[0],[0],"[8, 4, 5, 5, 4]",[],[4]
第三出,么,否,13,[0],[0],[0],[0],[4],[],"[7, 8]"
第三出,么,否,14,[0],[0],[0],[0],"[7, 8]",[],"[9, 4, 4]"
第三出,么,否,15,[0],[0],[0],[0],"[9, 4, 4]",[],"[5, 6, 4, 7]"
第三出,快活三,否,16,[0],[0],[0],[0],"[5, 6, 4, 7]",[],"[11, 5, 7, 7, 4, 6, 4, 10]"
第三出,鲍老儿,否,17,[0],[0],[0],[0],"[11, 5, 7, 7, 4, 6, 4, 10]",[],"[1, 4, 8, 6, 4]"
第三出,满庭芳,否,18,[0],[0],[0],[0],"[1, 4, 8, 6, 4]",[],"[4, 5, 10]"
第三出,耍孩儿,否,19,[0],[0],[0],[0],"[4, 5, 10]",[]
第三出,尾声,否,20,[0],[0],[0],[0],[],[]
第四出,锁南枝,否,1,[0],[0],[0],[0],"[7, 7, 7, 7, 15, 7, 8, 6, 4, 6, 4, 6, 5, 7, 7, 8, 6, 4, 4, 17, 10, 6, 6, 7, 8, 4, 8, 8, 4, 6, 8, 5, 2, 7, 9]",[],"[4, 5, 4, 10, 16, 7, 8, 4, 1]"
第四出,锁南枝,是,2,[0],[0],[0],[0],"[4, 5, 4, 10, 16, 7, 8, 4, 1]",[],"[3, 6, 5, 4, 4, 4, 6, 4, 6, 7, 4, 7, 7, 5, 5, 3, 3, 4, 4, 4, 4, 9, 4, 4, 4, 4, 8, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 6, 4, 5, 2, 3, 4, 7, 7, 7, 7, 6, 8, 7, 5, 6, 4, 7, 2, 8, 5, 4, 7, 12, 6, 5, 7, 6, 6, 4, 4, 5, 2]"
第四出,锁南枝,是,3,[0],[0],[0],[0],"[3, 6, 5, 4, 4, 4, 6, 4, 6, 7, 4, 7, 7, 5, 5, 3, 3, 4, 4, 4, 4, 9, 4, 4, 4, 4, 8, 6, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 6, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 6, 4, 5, 2, 3, 4, 7, 7, 7, 7, 6, 8, 7, 5, 6, 4, 7, 2, 8, 5, 4, 7, 12, 6, 5, 7, 6, 6, 4, 4, 5, 2]",[],"[8, 5, 5, 5, 6, 8, 4, 4, 4, 10, 8]"
第四出,锁南枝,是,4,[0],[0],[0],[0],"[8, 5, 5, 5, 6, 8, 4, 4, 4, 10, 8]",[],"[8, 5, 9, 7, 4, 2, 2, 7, 8]"
第四出,尾声,否,5,[0],[0],[0],[0],"[8, 5, 9, 7, 4, 2, 2, 7, 8]",[]
第四出,懒画眉,否,6,[0],[0],[0],[0],[],[],"[7, 6]"
