序号,剧本,出,曲牌,是否前腔,曲牌序号,色彩,色彩全字,色彩类型
1,邯郸记,第一出,渔家傲,否,1,黄,梦醒黄粱 ,蠢卢生梦醒黄粱,下场诗
1,邯郸记,第一出,渔家傲,否,1,乌, 乌兔天,乌兔天边才打照,正文
1,邯郸记,第一出,渔家傲,否,1,白,白日 ,白日 西还是早,正文
2,邯郸记,第二出,破齐阵,否,2,白,白屋三,白屋三间,正文
2,邯郸记,第二出,破齐阵,否,2,红,红尘一,红尘一榻,正文
3,邯郸记,第二出,菩萨蛮倒句,否,3,赤,李赤是李,李赤是李白之兄,正文
3,邯郸记,第二出,菩萨蛮倒句,否,3,白,是李白之兄,李赤是李白之兄,正文
3,邯郸记,第二出,菩萨蛮倒句,否,3,青,搭脚青驹似,略搭脚青驹似狗,正文
4,邯郸记,第二出,柳摇金,否,4,金,柳摇金,柳摇金,曲牌
4,邯郸记,第二出,柳摇金,否,4,青, 青驴紧,青驴紧跨,正文
4,邯郸记,第二出,柳摇金,否,4,红,红树槎,红树槎牙,正文
5,邯郸记,第三出,集唐,否,5,黄白,飞升黄白之术,能使飞升黄白之术,正文
5,邯郸记,第三出,集唐,否,5,黄,点成黄金一,点成黄金一十八两,正文
5,邯郸记,第三出,集唐,否,5,金,成黄金一十,点成黄金一十八两,正文
5,邯郸记,第三出,集唐,否,5,金,石为金,此乃点石为金,正文
5,邯郸记,第三出,集唐,否,5,黄,立取黄金抛,贫道立取黄金抛散,正文
5,邯郸记,第三出,集唐,否,5,金,取黄金抛散,贫道立取黄金抛散,正文
5,邯郸记,第三出,集唐,否,5,金,后遇金人,可惜误了五百年后遇金人,正文
5,邯郸记,第三出,集唐,否,5,赤,于赤县神,于赤县神州再觅一人,正文
6,邯郸记,第三出,赏花时,否,6,翠, 翠凤毛,翠凤毛翎札帚叉,正文
7,邯郸记,第三出,么,否,7,黄,剑斩黄龙一,你休再 剑斩黄龙一线差,正文
7,邯郸记,第三出,么,否,7,白,买酒白云边,将船买酒白云边,正文
8,邯郸记,第三出,中吕粉蝶儿,否,8,粉,中吕粉蝶儿,中吕粉蝶儿,曲牌
8,邯郸记,第三出,中吕粉蝶儿,否,8,黄, 淡黄生可,这 淡黄生可人衣服,正文
0,邯郸记,第三出,醉春风,否,9
9,邯郸记,第三出,红绣鞋,否,10,红,红绣鞋,红绣鞋,曲牌
10,邯郸记,第三出,迎仙客,否,11,黄,曾把黄鹤楼,俺曾把黄鹤楼 铁笛吹,正文
0,邯郸记,第三出,石榴花,否,12
0,邯郸记,第三出,斗鹌鹑,否,13
0,邯郸记,第三出,上小楼,否,14
11,邯郸记,第三出,么,否,15,乌,毕月乌 ,问你个如何 是毕月乌,正文
11,邯郸记,第三出,么,否,15,黑,月黑了就,月黑了就是,正文
12,邯郸记,第三出,白鹤子,否,16,白,白鹤子,白鹤子,曲牌
12,邯郸记,第三出,白鹤子,否,16,黄,是 黄婆 ,是 黄婆 土筑了基,正文
13,邯郸记,第三出,么,否,17,粉,的那粉 红,烧的那粉 红丹色样殊,正文
13,邯郸记,第三出,么,否,17,红,粉 红丹色,烧的那粉 红丹色样殊,正文
13,邯郸记,第三出,么,否,17,丹, 红丹色样,烧的那粉 红丹色样殊,正文
0,邯郸记,第三出,么,否,18
0,邯郸记,第三出,么,否,19
14,邯郸记,第三出,快活三,否,20,青, 袖青蛇胆,不是俺 袖青蛇胆气粗,正文
0,邯郸记,第三出,鲍老儿,否,21
15,邯郸记,第三出,满庭芳,否,22,赤, 非赤也非,眼抹里这 非赤也非乌,正文
15,邯郸记,第三出,满庭芳,否,22,乌,也非乌,眼抹里这 非赤也非乌,正文
15,邯郸记,第三出,满庭芳,否,22,青,是 青牛气,莫不是 青牛气函关直竖,正文
15,邯郸记,第三出,满庭芳,否,22,金,镜分金指度,没罗镜分金指度,正文
0,邯郸记,第三出,耍孩儿,否,23
16,邯郸记,第三出,尾声,否,24,白,白头祖,白头祖籍住邯郸,正文
16,邯郸记,第三出,尾声,否,24,黄,村务黄粱饭,开张村务黄粱饭,正文
16,邯郸记,第三出,尾声,否,24,青,一缕青气,望见一缕青气,正文
17,邯郸记,第四出,锁南枝,否,25,青, 青蛇气,青蛇气,正文
17,邯郸记,第四出,锁南枝,否,25,青,一匹青驴驹,那人骑一匹青驴驹来也,正文
18,邯郸记,第四出,锁南枝,是,26,青,秃促青 驴,短 秃促青 驴鞲断了梢,正文
18,邯郸记,第四出,锁南枝,是,26,白,略表白几句,略表白几句你听：“夫巴陵胜状,正文
18,邯郸记,第四出,锁南枝,是,26,兰,芷汀兰,锦鳞游泳；岸芷汀兰,正文
18,邯郸记,第四出,锁南枝,是,26,青,郁郁青青,郁郁青青,正文
18,邯郸记,第四出,锁南枝,是,26,青,郁青青,郁郁青青,正文
18,邯郸记,第四出,锁南枝,是,26,金,光跃金,皓月千里；浮光跃金,正文
18,邯郸记,第四出,锁南枝,是,26,青,袖有青蛇胆,袖有青蛇胆气粗,正文
0,邯郸记,第四出,锁南枝,是,27
19,邯郸记,第四出,锁南枝,是,28,青紫,试 青紫当年,试 青紫当年如拾毛,正文
19,邯郸记,第四出,锁南枝,是,28,黄,人炊黄粱为,小人炊黄粱为君一饭,正文
20,邯郸记,第四出,尾声,否,29,黄, 煮黄粱要,你去 煮黄粱要他美甘 甘清睡个 饱,正文
0,邯郸记,第四出,懒画眉,否,30
